,url,title,date,category,description
31,https://www.youtube.com/watch?v=0Bm53jZze_o,Hermitcraft - Redstone Doors and Plunger Power!,2023-02-21,VOD,
151,https://www.youtube.com/watch?v=L9_ljtKtg28,The Hazard System! Hermitcraft 9: #37,2023-02-25,main,
32,https://www.youtube.com/watch?v=Nw2gKMZPihA,Hermitcraft Stream Weekend #1,2023-02-26,VOD,
33,https://www.youtube.com/watch?v=OahFIVYCpds,Herrmitcraft Stream Weekend #2! Dripleaf Parkour and Blueberry Kit Kats,2023-02-27,VOD,
34,https://www.youtube.com/watch?v=o7w59NcRD5s,Hermitcraft - Dancing with Lava!,2023-03-02,VOD,
35,https://www.youtube.com/watch?v=I6b7UJRg5Y4,Hermitcraft - Random Decked Out  Projects? Sure!,2023-03-08,VOD,
152,https://www.youtube.com/watch?v=lqOti-sUF8U,The Decked Out Card Announcer! Hermitcraft 9: #38,2023-03-09,main,
36,https://www.youtube.com/watch?v=KRQ-lnu6HHE,Hermitcraft - Audio Processor and Ravager Proofing,2023-03-11,VOD,
37,https://www.youtube.com/watch?v=CFH5TcM3VJE,Hermitcraft - Coins and Embers on Pi Day!,2023-03-15,VOD,
38,https://www.youtube.com/watch?v=TeycXut_wcQ,Hermitcraft - Minecarts and Dynamite Fish,2023-03-16,VOD,
153,https://www.youtube.com/watch?v=tcdiUIOFH8E,Dial-a-Difficulty! Hermitcraft 9: #39,2023-03-20,main,
39,https://www.youtube.com/watch?v=XLRMELbQjjA,Hermitcraft - Zelda Tune for Unlocking Doors!,2023-03-21,VOD,
40,https://www.youtube.com/watch?v=7OiDD2tNtoY,Hermitcraft - Ender Mites and Treasure Tunes,2023-03-23,VOD,
41,https://www.youtube.com/watch?v=UqnrrTJdNX8,Hermitcraft - Lodestone Linking and Ideas Chat,2023-03-29,VOD,
42,https://www.youtube.com/watch?v=Nz3_AquvUJk,Hermitcraft - Recording the Card Announcer Voices!,2023-03-30,VOD,
154,https://www.youtube.com/watch?v=5eILQB2rSJk,Let's do some TESTING! Hermitcraft 9: #40,2023-04-01,main,
43,https://www.youtube.com/watch?v=OVi01DOLJZE,Hermitcraft - Prepping for Ravager Delivery!,2023-04-06,VOD,
44,https://www.youtube.com/watch?v=6PjfKagm3pU,"Hermitcraft - Roofs, Bells and Tracks... Lots to do!",2023-04-06,VOD,
45,https://www.youtube.com/watch?v=QFTp3TKHRQ4,Hermitcraft - Baby Ravagers and Easter Eggs (Part 1),2023-04-08,VOD,
46,https://www.youtube.com/watch?v=g2T-HOnMe5s,Hermitcraft - Baby Ravagers and Easter Eggs (Part 2),2023-04-08,VOD,
155,https://www.youtube.com/watch?v=thDAfvfZskw,Ravagers are IN! Hermitcraft 9: #41,2023-04-09,main,
47,https://www.youtube.com/watch?v=pkqPWvmJl5g,Hermitcraft - Sweet Berry Test Runs!,2023-04-12,VOD,
48,https://www.youtube.com/watch?v=NCK-iPAZpHs,Zedaph Runs Decked Out! Hilarity Ensues.,2023-04-13,VOD,
49,https://www.youtube.com/watch?v=zkuf0JZd2TU,Hermitcraft - Prepping for the Frost Ember Shop!,2023-04-16,VOD,
50,https://www.youtube.com/watch?v=cBGwlj5EJlc,Hermitcraft - Victory Tomes and Death Pits,2023-04-21,VOD,
51,https://www.youtube.com/watch?v=CnQLMjT-tsw,Hermitcraft - Picking Up the Dead Bits,2023-04-22,VOD,
156,https://www.youtube.com/watch?v=KyBcB5XT184,The Frost Ember Shop is Amazing! Hermitcraft 9: #42,2023-04-22,main,
52,https://www.youtube.com/watch?v=2STQ3r1UE5c,Hermitcraft - Water Kittens and the great Pickle Quest!,2023-04-25,VOD,
53,https://www.youtube.com/watch?v=eUex8iG_VuE,Hermitcraft - Hazard and Trap Prepping,2023-04-27,VOD,
54,https://www.youtube.com/watch?v=i0XrYKp3-H8,Hermitcraft - Building a new Trap!,2023-05-02,VOD,
157,https://www.youtube.com/watch?v=xu2KUKqd1eY,Custom Decked Out User Interface Using MAPS! Hermitcraft 9: #43,2023-05-02,main,
