label,track,start,end,score
Anne Boleyn,88,1507,1536,92
Guru Nanak,89,1469,1539,95
Francisco Pizarro,90,1478,1541,87
Nicolaus Copernicus,91,1473,1543,179
Martin Luther,92,1483,1546,198
Hernán Cortés,93,1485,1547,154
Henry VIII,94,1491,1547,109
François Rabelais,95,1494,1553,95
Edward VI,96,1537,1553,87
Jacques Cartier,97,1491,1557,153
"Charles V, Holy Roman Emperor",98,1500,1558,105
Mary I,99,1516,1558,93
Michelangelo,100,1475,1564,215
John Calvin,101,1509,1564,112
Suleiman the Magnificent,102,1494,1566,137
Nostradamus,103,1503,1566,103
Pieter Bruegel the Elder,104,1525,1569,84
Giorgio Vasari,105,1511,1574,78
Titian,106,1488,1576,98
Luís de Camões,107,1524,1580,91
Teresa of Ávila,108,1515,1582,77
Oda Nobunaga,109,1534,1582,76
Ivan the Terrible,110,1530,1584,108
Pope Gregory XIII,111,1502,1585,89
Mimar Sinan,112,1490,1588,133
Paolo Veronese,113,1528,1588,73
Catherine de' Medici,114,1519,1589,80
Henry III of France,0,1551,1589,72
Michel de Montaigne,115,1533,1592,90
Tintoretto,116,1518,1594,78
Giovanni Pierluigi da Palestrina,117,1525,1594,109
Francis Drake,118,1540,1596,112
Willem Barentsz,1,1550,1597,78
Philip II of Spain,119,1527,1598,98
Giordano Bruno,120,1548,1600,113
Elizabeth I,121,1533,1603,158
Akbar,122,1542,1605,156
Boris Godunov,2,1552,1605,71
Henry IV of France,3,1553,1610,88
Caravaggio,4,1571,1610,104
El Greco,123,1541,1614,107
Miguel de Cervantes,124,1547,1616,188
William Shakespeare,5,1564,1616,235
John Napier,6,1550,1617,80
James VI and I,7,1566,1625,88
Francis Bacon,8,1561,1626,119
Abbas the Great,9,1571,1629,78
Johannes Kepler,10,1571,1630,153
Lope de Vega,11,1562,1635,97
Iskandar Muda,12,1583,1636,75
Peter Paul Rubens,13,1577,1640,156
Murad IV,14,1612,1640,71
Galileo Galilei,15,1564,1642,210
Cardinal Richelieu,16,1585,1642,82
Hugo Grotius,17,1583,1645,75
Miyamoto Musashi,18,1584,1645,73
Charles I of England,19,1600,1649,96
René Descartes,20,1596,1650,182
William Harvey,21,1578,1657,83
Oliver Cromwell,22,1599,1658,99
Abel Tasman,23,1603,1659,101
Diego Velázquez,24,1599,1660,157
Blaise Pascal,25,1623,1662,137
Nicolas Poussin,26,1594,1665,81
Pierre de Fermat,27,1601,1665,98
Shah Jahan,28,1592,1666,94
Rembrandt,29,1606,1669,183
Molière,30,1622,1673,171
John Milton,31,1608,1674,107
Johannes Vermeer,32,1632,1675,108
Baruch Spinoza,33,1632,1677,123
Thomas Hobbes,34,1588,1679,110
Evliya Çelebi,35,1611,1682,61
Bartolomé Esteban Murillo,36,1617,1682,77
Johannes Hevelius,37,1611,1687,61
Robert Boyle,38,1627,1691,102
Matsuo Bashō,39,1644,1694,171
Jean de La Fontaine,40,1621,1695,90
Christiaan Huygens,41,1629,1695,101
Juana Inés de la Cruz,42,1651,1695,65
Henry Purcell,43,1659,1695,63
Charles II of Spain,44,1661,1700,80
William III of England,45,1650,1702,80
John Locke,46,1632,1704,151
"Leopold I, Holy Roman Emperor",47,1640,1705,70
Jacob Bernoulli,48,1655,1705,73
Aurangzeb,49,1618,1707,85
"Anne, Queen of Great Britain",50,1665,1714,89
Louis XIV,51,1638,1715,146
Gottfried Wilhelm Leibniz,52,1646,1716,159
Pope Clement XI,53,1649,1721,77
Antonie van Leeuwenhoek,54,1632,1723,102
Peter the Great,55,1672,1725,158
Isaac Newton,56,1642,1727,238
George I of Great Britain,57,1660,1727,83
Daniel Defoe,58,1660,1731,104
Ahmed III,59,1673,1736,69
Anna of Russia,60,1693,1740,73
Antonio Vivaldi,61,1678,1741,153
Vitus Bering,62,1681,1741,84
Edmond Halley,63,1656,1742,92
Anders Celsius,64,1701,1744,96
Jonathan Swift,65,1667,1745,102
Robert Walpole,66,1676,1745,83
"Charles VII, Holy Roman Emperor",67,1697,1745,65
Johann Sebastian Bach,68,1685,1750,222
George Berkeley,69,1685,1753,87
Montesquieu,70,1689,1755,107
Pope Benedict XIV,71,1675,1758,82
Canaletto,72,1697,1758,70
George Frideric Handel,73,1685,1759,139
William Hogarth,74,1697,1764,73
Louis XV,75,1710,1774,96
David Hume,76,1711,1776,111
Voltaire,77,1694,1778,179
Carl Linnaeus,78,1707,1778,187
Jean-Jacques Rousseau,79,1712,1778,162
James Cook,80,1728,1779,170
Daniel Bernoulli,81,1700,1782,84
Leonhard Euler,82,1707,1783,165
Denis Diderot,83,1713,1784,102
Frederick the Great,84,1712,1786,95
Benjamin Franklin,85,1706,1790,144
Adam Smith,86,1723,1790,170
Wolfgang Amadeus Mozart,87,1756,1791,231
Louis XVI,88,1754,1793,111
Antoine Lavoisier,89,1743,1794,110
Catherine the Great,90,1729,1796,121
Edmund Burke,91,1729,1797,83
George Washington,92,1732,1799,217
Immanuel Kant,93,1724,1804,184
Friedrich Schiller,94,1759,1805,116
Joseph Haydn,95,1732,1809,137
Jane Austen,96,1775,1817,146
James Watt,97,1736,1819,147
Napoleon,98,1769,1821,220
William Herschel,99,1738,1822,102
Lord Byron,100,1788,1824,154
John Adams,101,1735,1826,155
Thomas Jefferson,102,1743,1826,165
Alessandro Volta,103,1745,1827,108
Ludwig van Beethoven,104,1770,1827,218
Francisco Goya,105,1746,1828,165
Franz Schubert,106,1797,1828,146
Joseph Fourier,107,1768,1830,120
Simón Bolívar,108,1783,1830,154
James Monroe,109,1758,1831,141
Georg Wilhelm Friedrich Hegel,110,1770,1831,142
Johann Wolfgang von Goethe,111,1749,1832,196
James Madison,112,1751,1836,143
André-Marie Ampère,113,1775,1836,108
Alexander Pushkin,114,1799,1837,179
Andrew Jackson,115,1767,1845,140
John Quincy Adams,116,1767,1848,140
Hokusai,117,1760,1849,164
James K. Polk,118,1795,1849,133
Edgar Allan Poe,0,1809,1849,154
Frédéric Chopin,1,1810,1849,173
Carl Friedrich Gauss,119,1777,1855,164
Arthur Schopenhauer,120,1788,1860,112
Martin Van Buren,121,1782,1862,135
Abraham Lincoln,2,1809,1865,208
Jean-Auguste-Dominique Ingres,122,1780,1867,123
Michael Faraday,123,1791,1867,154
James Buchanan,124,1791,1868,133
Charles Dickens,3,1812,1870,175
Hans Christian Andersen,4,1805,1875,185
James Clerk Maxwell,5,1831,1879,139
Fyodor Dostoevsky,6,1821,1881,185
Charles Darwin,7,1809,1882,213
Richard Wagner,8,1813,1883,164
Karl Marx,9,1818,1883,214
Victor Hugo,10,1802,1885,187
Ulysses S. Grant,11,1822,1885,139
Vincent van Gogh,12,1853,1890,218
Pyotr Ilyich Tchaikovsky,13,1840,1893,166
Friedrich Engels,14,1820,1895,131
Louis Pasteur,15,1822,1895,171
Alfred Nobel,16,1833,1896,163
Johannes Brahms,17,1833,1897,138
Otto von Bismarck,18,1815,1898,164
Friedrich Nietzsche,19,1844,1900,178
Anton Chekhov,20,1860,1904,174
Dmitri Mendeleev,21,1834,1907,160
Leo Tolstoy,22,1828,1910,190
Mark Twain,23,1835,1910,164
Octave Mirbeau,24,1848,1917,143
Sarah Bernhardt,25,1844,1923,167
Woodrow Wilson,26,1856,1924,148
Vladimir Lenin,27,1870,1924,213
Roald Amundsen,28,1872,1928,165
Thomas Edison,29,1847,1931,193
Marie Curie,30,1867,1934,197
Mustafa Kemal Atatürk,31,1881,1938,212
Sigmund Freud,32,1856,1939,193
Rabindranath Tagore,33,1861,1941,167
Nikola Tesla,34,1856,1943,175
Franklin D. Roosevelt,35,1882,1945,190
Adolf Hitler,36,1889,1945,248
Max Planck,37,1858,1947,149
Mahatma Gandhi,38,1869,1948,207
George Orwell,39,1903,1950,151
Joseph Stalin,40,1878,1953,210
Henri Matisse,41,1869,1954,157
Frida Kahlo,42,1907,1954,174
Alan Turing,43,1912,1954,164
Albert Einstein,44,1879,1955,237
Ernest Hemingway,45,1899,1961,152
Marilyn Monroe,46,1926,1962,202
John F. Kennedy,47,1917,1963,178
Winston Churchill,48,1874,1965,183
Walt Disney,49,1901,1966,177
Che Guevara,50,1928,1967,176
Martin Luther King Jr.,51,1929,1968,187
Yuri Gagarin,52,1934,1968,174
Charles de Gaulle,53,1890,1970,173
Pablo Picasso,54,1881,1973,212
J. R. R. Tolkien,55,1892,1973,163
Mao Zedong,56,1893,1976,185
Charlie Chaplin,57,1889,1977,203
Elvis Presley,58,1935,1977,189
Huang Xianfan,59,1899,1982,171
Salvador Dalí,60,1904,1989,208
Marlene Dietrich,61,1901,1992,168
Richard Nixon,62,1913,1994,157
Ronald Reagan,63,1911,2004,250
Michael Jackson,64,1958,2009,283
Neil Armstrong,65,1930,2012,176
Nelson Mandela,66,1918,2013,234
Elizabeth II,67,1926,2022,215
Mikhail Gorbachev,68,1931,2022,160
Jimmy Carter,69,1924,2024,166
Pope Francis,70,1936,2025,184
Joe Biden,71,1942,2026,230
Donald Trump,72,1946,2026,261
George W. Bush,73,1946,2026,216
Bill Clinton,74,1946,2026,174
Charles III,75,1948,2026,161
Vladimir Putin,76,1952,2026,233
François Hollande,77,1954,2026,193
Angela Merkel,78,1954,2026,174
Bill Gates,79,1955,2026,180
Naruhito,80,1960,2026,183
Barack Obama,81,1961,2026,256
Rafael Correa,82,1963,2026,158
Kamala Harris,83,1964,2026,163
Jimmy Wales,84,1966,2026,190
Anna Netrebko,85,1971,2026,164
Elon Musk,86,1971,2026,160
Eminem,87,1972,2026,159
Emmanuel Macron,88,1977,2026,167
Volodymyr Zelenskyy,89,1978,2026,174
Beyoncé,90,1981,2026,156
Cristiano Ronaldo,91,1985,2026,180
Lady Gaga,92,1986,2026,173
Lionel Messi,93,1987,2026,189
Corbin Bleu,94,1989,2026,219
Selena Gomez,95,1992,2026,158
Neymar,96,1992,2026,141
Ariana Grande,97,1993,2026,125
Justin Bieber,98,1994,2026,161
Malala Yousafzai,99,1997,2026,128
