track,weight
North America,2
Central America,1
South America,1
West Africa,1
South Africa,1
East Africa,1
Russia,1
Eastern Europe,2
Scandinavia,1
Central Europe,2
Britain,1
France,0.5
Iberia,1
Italy,0.75
Balkans,1.33
Anatolia,1
North Africa,1
Mesopotamia,1
Persia,1
Central Asia,1
India,2
Burma,1
Thailand,1
Maritime SEA,1
Vietnam,1
China,1
Korea,0.75
Japan,0.75
Australia,0.5
New Zealand,0.5
Polynesia,0.5
