label,hex
Chinese,#DFA800
Korean,#4D669E
Japanese,#9F526F
English,#FF9090
Egyptian,#C7B187
Greek,#87B0D8
Roman,#993300
Russian,#C0C000
Polish,#55212B
German,#5B5B5B
Austrian,#73023A
French,#0000FF
Turkish,#2C4E1C
